title,country,year,genre,duration,age_rating,jury_score
Neon District,Japan,2024,Sci-Fi,118,12,9.1
The Silent Harbor,France,2022,Drama,104,16,8.7
Northern Lights,Canada,2021,Documentary,92,6,7.9
Golden Bridge,Italy,2023,Drama,115,12,8.6
Paper Orbit,Norway,2025,Animation,87,6,9.7
Distant Archive,Germany,2020,History,151,16,9.2
Northern Ocean 7,Poland,2024,Mystery,86,0,7.6
Last Road 8,Spain,2025,Mystery,105,18,7.7
Midnight Harbor 9,Poland,2021,Thriller,90,16,7.6
Distant Orbit 10,France,2025,Animation,156,0,5.3
Silent Archive 11,China,2018,Mystery,142,16,7.6
Electric Ocean 12,Germany,2023,Documentary,148,0,8.0
Golden Garden 13,Italy,2016,Sci-Fi,139,12,6.3
Cold Harbor 14,Brazil,2019,Sci-Fi,73,18,8.2
Summer Harbor 15,Chile,2025,Mystery,109,12,6.6
Northern River 16,Spain,2021,Mystery,165,0,9.8
Cold Bridge 17,Norway,2024,Adventure,133,0,6.6
Distant Harbor 18,Spain,2017,Family,108,12,8.4
Northern Memory 19,Mexico,2022,Animation,145,6,6.0
Broken District 20,Germany,2016,Sci-Fi,162,18,6.7
Midnight Bridge 21,Brazil,2018,Documentary,138,0,6.8
Wild Archive 22,Spain,2024,Documentary,155,6,6.1
Neon Station 23,Brazil,2025,Documentary,162,16,5.5
Broken Bridge 24,China,2023,Documentary,127,18,9.3
Northern Station 25,China,2025,Documentary,142,16,8.4
Last Harbor 26,Canada,2025,Documentary,160,16,6.8
Last Harbor 27,Poland,2024,Documentary,121,18,7.7
Bright Station 28,Japan,2017,Documentary,152,6,4.6
Broken Archive 29,India,2024,Documentary,104,0,7.9
Bright Orbit 30,Poland,2016,Documentary,113,16,7.6
Wild Station 31,Germany,2023,Documentary,163,0,7.3
Midnight Station 32,Germany,2026,Documentary,118,6,7.7
Paper Forest 33,Chile,2022,Documentary,147,6,6.1
Summer Village 34,Poland,2016,Documentary,167,6,7.4
Cold Signal 35,China,2017,Documentary,166,12,7.4
Golden District 36,India,2022,Documentary,96,12,5.2
Neon Harbor 37,Mexico,2020,Documentary,135,18,7.4
Neon Ocean 38,Brazil,2026,Documentary,167,16,7.6
Cold Orbit 39,Brazil,2022,Documentary,106,0,7.6
Hidden Bridge 40,Norway,2020,Documentary,131,16,7.8
Midnight Road 41,China,2017,Documentary,106,0,7.6
Cold Road 42,Norway,2022,Documentary,140,6,7.0
Distant Window 43,Spain,2020,Documentary,116,18,5.8
Bright Lights 44,Norway,2016,Documentary,93,18,8.0
Blue Archive 45,France,2016,Sci-Fi,119,12,9.0
Paper River 46,Canada,2021,History,135,12,8.3
Hidden District 47,Spain,2021,Animation,119,12,8.2
Wild District 48,China,2022,Animation,79,12,7.7
Hidden Memory 49,Germany,2016,History,146,12,7.1
Midnight Garden 50,Norway,2026,Adventure,121,12,7.8
Paper Station 51,Chile,2018,Thriller,132,12,6.9
Summer Road 52,Poland,2021,Drama,161,12,6.9
Hidden River 53,Spain,2023,Comedy,114,12,8.2
Neon Forest 54,Canada,2019,Drama,94,12,7.8
Last Signal 55,Japan,2019,Mystery,120,12,6.8
Cold Bridge 56,Italy,2024,Thriller,80,12,8.2
Northern Garden 57,Spain,2025,Comedy,100,12,6.6
Bright Lights 58,Germany,2021,Family,149,12,6.7
Bright Forest 59,Chile,2024,Thriller,126,12,9.4
Cold Memory 60,India,2017,Animation,102,12,8.1
Cold Village 61,Italy,2024,Thriller,133,12,9.0
